,Price,Area,Location,No. of Bedrooms,Lift Available,Car Parking
0,14900000,1245,Airoli,2,1,1
1,14000000,1183,Airoli,2,1,1
2,14800000,1245,Airoli,2,1,1
3,11100000,1050,Airoli,2,1,0
4,7500000,600,Airoli,1,1,0
5,7500000,600,Airoli,1,1,0
6,7600000,650,Airoli,1,0,0
7,6500000,650,Airoli,1,1,0
8,9500000,780,Airoli,1,1,0
9,6600000,640,Airoli,1,1,0
10,7800000,660,Airoli,1,0,0
11,7800000,660,Airoli,1,1,0
12,7000000,700,Airoli,1,1,0
13,7000000,680,Airoli,1,0,0
14,14000000,1245,Airoli,2,1,0
15,7500000,675,Airoli,1,1,0
16,7000000,600,Airoli,1,0,0
17,8400000,660,Airoli,1,0,0
18,7300000,600,Airoli,1,1,0
19,3874000,730,Ambernath East,1,1,1
20,2225000,595,Ambernath East,1,1,1
21,3999000,994,Ambernath East,2,1,0
22,3954999,993,Ambernath East,2,1,0
23,3415000,925,Ambernath East,2,1,0
24,3410000,918,Ambernath East,2,1,0
25,2300000,650,Ambernath East,1,1,0
26,4200000,1010,Ambernath East,2,1,0
27,2800000,690,Ambernath East,1,1,0
28,3650000,725,Ambernath East,1,1,1
29,3100000,827,Ambernath East,1,1,1
30,2374000,634,Ambernath West,1,1,1
31,3600000,910,Ambernath West,2,1,0
32,2836000,709,Ambernath West,1,1,0
33,3188000,797,Ambernath West,1,1,0
34,2520000,630,Ambernath West,1,1,0
35,2576000,644,Ambernath West,1,1,0
36,2836000,709,Ambernath West,1,1,0
37,2520000,630,Ambernath West,1,0,0
38,2576000,644,Ambernath West,1,0,0
39,3064000,766,Ambernath West,1,1,0
40,3188000,797,Ambernath West,1,1,0
41,18000000,1100,Andheri,2,1,1
42,14000000,1000,Andheri,2,1,1
43,30000000,1480,Andheri,3,1,1
44,17500000,650,Andheri,1,1,1
45,65300000,3025,Andheri,4,1,1
46,24000000,1000,Andheri,2,0,1
47,29400000,1450,Andheri,3,1,1
48,22200000,900,Andheri,3,1,1
49,15300000,1040,Andheri,2,1,1
50,17000000,1114,Andheri East,3,1,1
51,20000000,1260,Andheri East,2,1,1
52,33400000,2016,Andheri East,3,1,1
53,11100000,655,Andheri East,2,0,1
54,16800000,922,Andheri East,2,1,1
55,17500000,1050,Andheri East,1,1,1
56,16500000,1020,Andheri East,1,1,1
57,14800000,915,Andheri East,2,1,1
58,15000000,915,Andheri East,2,1,1
59,18000000,1020,Andheri East,2,1,1
60,14000000,650,Andheri East,2,0,1
61,11000000,620,Andheri East,1,1,1
62,15000000,950,Andheri East,2,1,1
63,31500000,1356,Andheri East,3,1,1
64,17000000,1080,Andheri East,2,1,1
65,25000000,1356,Andheri East,2,1,1
66,13000000,903,Andheri East,2,1,1
67,13500000,750,Andheri East,2,0,0
68,13500000,750,Andheri East,2,1,0
69,19000000,1150,Andheri East,2,1,0
70,22000000,1000,Andheri East,2,1,0
71,22000000,1300,Andheri East,3,1,0
72,13500000,550,Andheri East,1,0,0
73,10000000,600,Andheri East,1,1,0
74,16500000,850,Andheri East,2,1,0
75,16000000,900,Andheri East,2,0,0
76,31000000,1300,Andheri East,3,1,1
77,15400000,670,Andheri East,2,1,1
78,22000000,1100,Andheri East,3,1,1
79,18800000,1100,Andheri East,2,1,1
80,22300000,1450,Andheri East,3,1,1
81,21500000,1450,Andheri East,3,1,1
82,16000000,902,Andheri East,2,1,1
83,15000000,850,Andheri East,2,1,1
84,9000000,560,Andheri East,1,1,0
85,17500000,1065,Andheri East,2,1,0
86,8500000,550,Andheri East,1,0,0
87,8500000,550,Andheri East,1,0,0
88,9500000,650,Andheri East,1,1,1
89,15500000,850,Andheri East,2,1,1
90,18500000,1150,Andheri East,2,1,0
91,16900000,850,Andheri East,2,1,0
92,15000000,700,Andheri East,2,0,0
93,12500000,802,Andheri East,1,1,0
94,14000000,652,Andheri East,1,0,0
95,25000000,1350,Andheri East,2,0,0
96,14000000,650,Andheri East,1,0,0
97,18500000,1020,Andheri East,2,1,0
98,21000000,1050,Andheri East,2,1,1
99,36500000,1950,Andheri East,3,0,0
100,12400000,650,Andheri East,1,0,0
101,17900000,1100,Andheri East,2,0,0
102,11500000,720,Andheri East,1,1,1
103,18000000,900,Andheri East,2,1,0
104,10000000,475,Andheri East,1,0,0
105,19800000,1200,Andheri East,2,1,1
106,110000000,3300,Andheri West,4,0,0
107,28500000,997,Andheri West,2,1,1
108,55000000,1950,Andheri West,3,1,1
109,24000000,1000,Andheri West,2,0,1
110,27000000,1361,Andheri West,2,1,0
111,31200000,1470,Andheri West,3,1,0
112,65000000,2450,Andheri West,4,1,1
113,18000000,1006,Andheri West,2,1,1
114,85000000,3733,Andheri West,4,1,1
115,92400000,3080,Andheri West,3,1,1
116,113400000,3780,Andheri West,4,1,1
117,31500000,1470,Andheri West,3,0,0
118,35000000,1600,Andheri West,3,1,1
119,25500000,1400,Andheri West,2,1,1
120,18500000,650,Andheri West,1,0,0
121,20000000,650,Andheri West,2,1,0
122,19700000,800,Andheri West,2,1,1
123,18200000,750,Andheri West,2,1,1
124,17900000,750,Andheri West,2,1,1
125,29000000,1550,Andheri West,3,1,1
126,31000000,1600,Andheri West,3,1,1
127,35000000,1600,Andheri West,3,1,1
128,41500000,1850,Andheri West,3,1,1
129,24000000,960,Andheri West,2,1,0
130,37000000,1600,Andheri West,3,1,0
131,34000000,1166,Andheri West,3,1,1
132,25000000,790,Andheri West,2,1,1
133,36400000,1193,Andheri West,3,1,1
134,26500000,1250,Andheri West,2,1,0
135,16000000,800,Andheri West,2,0,0
136,110000000,3000,Andheri West,4,1,0
137,21700000,707,Andheri West,2,1,0
138,27799999,944,Andheri West,3,1,0
139,26000000,923,Andheri West,2,1,0
140,22200000,930,Andheri West,2,1,0
141,25200000,1250,Andheri West,2,1,0
